epic, Kp, cdpp_sap, cdpp_pdc, cdpp_k2sc_pdc, cdpp_halo, cdpp_k2sc_halo, enclosed_weight
212448937, 11.838000, 9051.860579, 97.036854, 47.382283, 68.684908, 60.976948, 0.177538
212516946, 11.884000, 397.863187, 117.365383, 117.062910, 118.547428, 117.616663, 0.275742
212716822, 11.508000, 686.054947, 269.644223, 272.142936, 276.003015, 275.983556, 0.222435
212600460, 11.298000, 283.777969, 107.281310, 106.251688, 109.370868, 108.566808, 0.259225
212774705, 11.837000, 2946.276744, 194.290841, 159.681161, 170.234512, 162.368130, 0.186298
212535978, 11.566000, 201.260041, 45.702820, 37.825574, 40.385532, 32.652071, 0.701862
212822146, 11.991000, 3963.294599, 433.625194, 406.915787, 452.266111, 444.925317, 0.211493
212371500, 11.983000, 5058.515994, 89.923236, 53.298277, 72.932138, 70.487980, 0.156980
212576553, 11.081000, 125.917603, 51.186600, 45.381130, 45.080827, 44.904530, 0.886153
212469817, 11.841000, 1454.904128, 101.016344, 24.627305, 45.416491, 32.815446, 0.157428
212336755, 11.075000, 2125.221194, 427.528996, 418.192448, 418.706753, 417.948581, 0.152871
212448066, 11.358000, 86103.571353, 2573.019431, 1172.282518, 603.301506, 623.057595, 0.177229
212319712, 11.688000, 2766.970549, 224.645568, 199.517350, 222.535098, 212.898937, 0.166174
212399188, 11.379000, 3279.407328, 107.231760, 53.217617, 71.767549, 66.290862, 0.204151
212651234, 11.139000, 5837.594553, 2678.997313, 1335.314197, 504.915316, 374.920402, 0.661236
212612064, 11.193000, 616.013157, 616.138921, 609.594852, 601.456816, 599.300359, 0.252142
212802359, 11.885000, 2319.161636, 87.947107, 48.608641, 75.372775, 59.704719, 0.169059
212728485, 11.737000, 3387.329826, 96.968839, 34.428578, 65.862417, 42.483532, 0.133176
212518648, 11.175000, 118.538158, 40.721163, 20.156349, 36.483531, 21.474382, 0.212262
212425875, 11.792000, 647.026921, 53.551578, 31.243502, 42.506066, 36.412222, 0.234869
212713210, 11.839000, 1972.017304, 163.693956, 34.433726, 184.710183, 107.978475, 0.196132
212434220, 11.699000, 242.213385, 89.546233, 37.962872, 51.551514, 46.698438, 0.280553
212751927, 11.016000, 246.214673, 102.357564, 31.247494, 63.593673, 31.738056, 0.570451
212822714, 11.524000, 43609.084515, 1371.520156, 615.066491, 1055.073223, 411.303943, 0.178225
212286956, 11.264000, 60633.952557, 3647.729876, 421.438983, 38.250224, 32.850752, 0.145926
212626710, 11.767000, 573.157904, 40.886230, 35.406499, 49.173611, 44.910148, 0.258076
212623275, 11.501000, 1419.574143, 57.097995, 27.834872, 52.079191, 40.347904, 0.116891
212294917, 11.875000, 7721.395045, 483.443950, 451.257261, 449.181535, 448.535338, 0.141176
212357642, 11.378000, 4191.808010, 555.749637, 381.977719, 385.498402, 377.677581, 0.160945
212750556, 11.077000, 1123.876719, 890.628713, 912.359887, 861.822229, 882.021329, 0.539903
212378794, 11.047000, 1674.159138, 257.381878, 114.507164, 117.584400, 112.755949, 0.166574
212709172, 11.728000, 1431.343956, 291.247986, 283.889841, 302.867912, 301.090759, 0.132397
212730174, 11.977000, 1979.333400, 848.584232, 760.517198, 782.961611, 764.965702, 0.141026
212594145, 11.396000, 3329.141686, 415.866805, 411.245737, 410.128388, 411.145190, 0.150045
212613950, 11.816000, 6588.904678, 290.897372, 97.907894, 195.420150, 89.901744, 0.177684
212367365, 11.869000, 5978.640954, 129.366385, 68.374531, 72.789024, 60.977307, 0.151622
212500408, 11.292000, 354.716662, 83.051274, 70.119248, 77.212945, 72.776816, 0.592469
212709723, 11.363000, 2349.723131, 137.722241, 89.058474, 91.733913, 88.477266, 0.141727
212316597, 11.125000, 1317.559386, 320.824718, 315.060995, 312.513232, 309.444934, 0.180482
212783920, 11.995000, 3527.023002, 124.040060, 42.493285, 96.687574, 70.935822, 0.195106
212490212, 11.247000, 219.657655, 37.074678, 20.930478, 23.476174, 21.617118, 0.246030
212699403, 11.651000, 2827.185934, 888.434461, 894.716285, 887.018610, 899.993304, 0.133767
212300825, 11.478000, 19004.251639, 3292.727682, 3263.920091, 3528.872013, 3262.166379, 0.208102
212292336, 11.514000, 12713.747000, 570.625422, 118.923521, 6126.030021, 388.988019, 1.000000
212840940, 11.414000, 2488.745569, 92.664014, 31.463877, 70.531887, 50.044680, 0.189163
212407550, 11.887000, 643.863916, 36.777191, 21.518172, 33.290029, 29.529695, 0.271357
212582781, 11.212000, 381.499069, 57.822656, 51.638627, 57.791059, 57.444713, 0.886450
212677072, 11.684000, 1732.531010, 441.900406, 446.467709, 447.494908, 445.152513, 0.125666
212531346, 11.280000, 650.770235, 68.943621, 59.657088, 66.619904, 61.202032, 0.233643
212477721, 11.678000, 2438.253865, 67.993892, 39.811859, 43.049938, 32.567161, 0.122441
212659834, 11.665000, 23589.986698, 22905.181991, 22928.796413, 61329.779874, 10231.467578, 0.000000
212717323, 11.704000, 2268.562658, 133.047330, 33.473772, 100.184495, 41.157289, 0.132357
212384679, 11.158000, 3387.615305, 84.730611, 44.296624, 38.194050, 38.477627, 0.195526
212302294, 11.161000, 4710.326396, 1078.811843, 1049.306308, 1114.906739, 1130.409875, 0.227009
212702847, 11.681000, 1951.477858, 186.236248, 175.496373, 187.515863, 186.964940, 0.134053
212837449, 11.734000, 2465.347176, 185.020781, 160.103031, 181.641646, 178.899330, 0.202107
212816593, 11.485000, 4627.077681, 162.643844, 63.050273, 87.177269, 95.297996, 0.187743
